"","gene","CTX-M-DSVA1","CTX-M-DSVA2","CTX-M-DSVA3","CTX-M-DSVA4","STR-M-DSVA1","STR-M-DSVA2","STR-M-DSVA3","STR-M-DSVA4"
"349","1700034I23Rik",0,0,0,0,0,0.7,0,0
"350","1700034J04Rik",0,0,0,0,0,0,0,0
"351","1700034J05Rik",0,0,0,0,0,0,0,0
"352","1700034K08Rik",0,0,0,0,0,0,0,0
"353","1700034P13Rik",12.47,2.14,2.67,2.62,6.71,6.32,5.37,7.43
"354","1700036A12Rik",0,0,1.34,0,3.36,1.41,3.58,2.7
"355","1700036G14Rik",0,0,0,0,0,3.51,1.79,0.68
"356","1700036O09Rik",0,0,0,0,0,0,0,0
"357","1700037C06Rik",0,0,0,0,0,0,0,0
"358","1700037C18Rik",155.03,117.85,93.62,127.25,118.83,114.54,97.52,91.92
"359","1700037F03Rik",0,0,0,0,0,0,0,0
"360","1700037H04Rik",775.13,818.51,632.58,846.14,1396.46,1616.2,1744.58,1863.4
"361","1700039E22Rik",0,0,0,0,0,0,0,0
"362","1700039I01Rik",0,0,0,0,0.67,0,0,0.68
"363","1700039M10Rik",0,1.07,0,0,0.67,0,0.89,0
"364","1700039M15Rik",0,0,0,0,0,0,0,0
"365","1700040D17Rik",16.04,17.14,16.05,15.74,9.4,12.65,1.79,4.06
"366","1700040E09Rik",0,0,0,0,0,0,0,0
"367","1700040F15Rik",0,0,0,0,0,0,0,0
"368","1700040F17Rik",0,0,0,0,0,0,0,0
"369","1700040K01Rik",3.56,2.14,0,0,0.67,0,0.89,0
"370","1700040L08Rik",8.91,31.07,42.8,30.17,26.85,33.73,20.58,18.25
"371","1700041B01Rik",0,0,0,1.31,1.34,0,0,0
"372","1700041C23Rik",0,0,0,0,0,0,0,0
"373","1700041G16Rik",3.56,2.14,6.69,2.62,5.37,9.84,4.47,8.11
"374","1700041I07Rik",0,0,0,0,0,0.7,0,0
"375","1700041M05Rik",0,0,0,0,0,0,0,0
"376","1700041M19Rik",0,0,0,0,0,0,0,0
"377","1700042D02Rik",0,0,0,0,0,0,0,0
"378","1700042G07Rik",0,0,0,0,0,0,0,0
"379","1700042G15Rik",0,0,0,0,0,0,0,0
"380","1700042O05Rik",0,0,0,0,0,0,0,0
