"","gene","CTX-M-DSVA1","CTX-M-DSVA2","CTX-M-DSVA3","CTX-M-DSVA4","STR-M-DSVA1","STR-M-DSVA2","STR-M-DSVA3","STR-M-DSVA4","baseMean","log2FC","log2FCunshrunk","pvalue","padj"
"35199","Gm6134",1.78,0,0,0,0,0.7,0,0,0.3,-0.04,-0.89,0.80151,NA
"35200","Gm6135",0,0,1.34,0,0,1.41,0,0,0.3,-0.01,-0.15,0.96467,NA
"35201","Gm6136",49.89,21.43,28.08,35.42,16.78,27.41,16.1,20.28,26.9,-0.5,-0.71,0.055,0.11119
"35202","Gm6137",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35203","Gm6139",39.2,10.71,13.37,18.37,6.04,11.24,5.37,4.73,13.6,-0.93,-1.54,0.00629,0.0172
"35204","Gm614",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35205","Gm6140",0,0,0,0,0,1.41,0.89,0.68,0.4,0.11,1.58,0.58037,NA
"35206","Gm6141",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35207","Gm6142",24.95,6.43,5.35,20.99,2.01,4.92,4.47,8.11,9.7,-0.75,-1.54,0.0258,0.05846
"35208","Gm6145",527.44,656.74,722.19,735.95,481.37,437.78,341.76,396.74,537.5,-0.63,-0.67,4.58168813427122e-06,3e-05
"35209","Gm6149",0,0,0,0,0.67,0,0,0,0.1,-0.01,-0.17,0.9623,NA
"35210","Gm6150",0,0,0,2.62,0,2.11,1.79,2.7,1.2,0.16,1.26,0.50298,0.63483
"35211","Gm6152",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35212","Gm6153",0,0,0,0,0.67,0.7,1.79,1.35,0.6,0.23,2.17,0.31779,NA
"35213","Gm6155",0,1.07,0,2.62,0,0.7,0,0,0.5,-0.17,-2.09,0.41749,NA
"35214","Gm6157",0,0,0,3.94,1.34,0,0,0.68,0.7,-0.08,-0.95,0.69584,NA
"35215","Gm6158",1.78,2.14,1.34,0,6.71,2.11,5.37,4.73,3,0.53,1.84,0.09155,0.16894
"35216","Gm6159",0,0,2.67,1.31,2.01,3.51,0.89,0.68,1.4,0.14,0.83,0.58286,0.70488
"35217","Gm6161",0,2.14,0,0,0.67,0.7,0,0.68,0.5,-0.02,-0.27,0.91023,NA
"35218","Gm6162",1.78,0,0,1.31,0,0,0,0,0.4,-0.13,-2.41,0.46671,NA
"35219","Gm6166",60.58,34.28,26.75,27.55,20.81,21.08,23.26,27.71,30.3,-0.47,-0.66,0.05931,0.1185
"35220","Gm6169",1.78,0,2.67,1.31,2.01,0,0,0,1,-0.16,-1.45,0.47173,0.60597
"35221","Gm6170",35.64,12.86,12.04,19.68,9.4,8.43,8.05,10.14,14.5,-0.69,-1.12,0.02227,0.05159
"35222","Gm6171",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35223","Gm6173",0,0,0,1.31,0,0,0,0,0.2,-0.08,-1.61,0.64874,NA
"35224","Gm6174",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35225","Gm6175",0,0,0,0,0,0.7,0,0.68,0.2,0.03,0.55,0.87664,NA
