"","gene","STR-M-CRE1","STR-M-CRE2","STR-M-CRE3","STR-M-DSVA1","STR-M-DSVA2","STR-M-DSVA3","STR-M-DSVA4","STR-M-XDP1","STR-M-XDP2","STR-M-XDP3"
"1968","5430430K15Rik",0,1.11,0,1.53,0,1.01,0,1.09,0,0
"1969","5430431A17Rik",0,2.22,1.2,0,1.61,1.01,0,0,1.29,2.26
"1970","5430433H01Rik",0,0,0,0,0,0,0,0,0,0
"1971","5430434F05Rik",0,0,0,0,0,0,0,0,0,0
"1972","5430434I15Rik",0,0,0,0,0,0,0,0,0,0
"1973","5430435K18Rik",0,0,0,0,0,0,0,0,0,0
"1974","5430437J10Rik",0,0,0,0,0,1.01,0,0,0,0
"1975","5430440P10Rik",0.92,0,2.4,2.3,0,5.06,1.53,2.18,0,2.26
"1976","5530400C23Rik",0,0,0,0,0,0,1.53,0,0,0
"1977","5530400K19Rik",0,0,0,0,0.81,1.01,0,0,0,2.26
"1978","5530401A14Rik",0,0,0,0,1.61,0,0.77,6.53,5.17,4.53
"1979","5530402G07Rik",0,0,2.4,0,0.81,0,0.77,4.35,0,0
"1980","5530601H04Rik",424.77,360.1,329.08,388.68,412.63,324.81,318.99,305.76,284.34,378.03
"1981","5730403I07Rik",0,0,0,0,0.81,3.04,5.37,1.09,14.22,1.13
"1982","5730405O15Rik",31.33,18.89,16.81,18.36,24.18,24.29,32.97,50.05,45.24,31.69
"1983","5730408A14Rik",0,0,0,0,0,0,0,0,0,0
"1984","5730409E04Rik",2800.17,3120.89,3436.16,2837.03,2592.64,2882.85,3107.08,3131.61,3205.28,2633.79
"1985","5730412P04Rik",0,0,0,0,3.22,3.04,2.3,4.35,0,1.13
"1986","5730414N17Rik",47.91,53.35,100.89,57.38,78.98,56.67,81.28,55.49,41.36,66.78
"1987","5730416F02Rik",0,0,0,0,0,0,0,0,0,0
"1988","5730419F03Rik",0,0,0,0,0,0,0,0,2.58,0
"1989","5730420D15Rik",0,0,0,3.06,2.42,0,0.77,0,5.17,6.79
"1990","5730435O14Rik",0,4.45,2.4,0,0.81,0,0,1.09,0,0
"1991","5730437C11Rik",0,0,0,0,2.42,0,3.07,0,2.58,0
"1992","5730455P16Rik",1940.49,1866.09,2297.58,2186.68,1942.26,2212.99,2143.98,2168.63,2176.49,2134.65
"1993","5730460C07Rik",0,0,0,0,0,0,0,0,1.29,0
"1994","5730480H06Rik",187.05,185.61,165.74,191.28,195.84,142.68,177.13,177.36,173.19,198.07
"1995","5730488B01Rik",0,0,0,0,0,0,0,0,0,0
"1996","5730507A11Rik",0,0,0,0,0,0,0,0,0,0
"1997","5730507C01Rik",0.92,0,0,3.06,4.03,7.08,3.83,2.18,2.58,1.13
"1998","5730521K06Rik",0,1.11,0,3.83,4.03,0,0,0,0,1.13
"1999","5730522E02Rik",53.44,44.46,37.23,47.44,54,38.45,39.11,45.7,28.43,46.41
"2000","5730585A16Rik",0,0,0,0,0,0,0,0,0,0
"2001","5730596B20Rik",0,0,0,0,0,0,0,0,0,0
"2002","5830405F06Rik",0,0,0,0,0.81,0,0,0,0,0
"2003","5830408C22Rik",35.01,11.11,69.66,85.69,13.7,10.12,6.9,22.85,19.39,14.71
"2004","5830411K02Rik",0,0,0,0.77,0,0,0,0,0,0
"2005","5830411N06Rik",0,1.11,6.01,0.77,0,0,0.77,0,1.29,0
"2006","5830415G21Rik",5.53,2.22,0,3.06,0,0,0,0,1.29,0
"2007","5830416I19Rik",2.76,2.22,0,0.77,3.22,3.04,3.07,2.18,0,0
"2008","5830417I10Rik",119.78,84.47,79.27,91.05,83.01,123.45,97.38,112.08,115.03,109.79
"2009","5830418P13Rik",2.76,5.56,0,0.77,4.84,4.05,6.9,4.35,10.34,6.79
"2010","5830426I08Rik",0,0,0,0,0,0,0,0,0,0
"2011","5830428M24Rik",0,1.11,1.2,0,0.81,0,0,0,0,0
"2012","5830432E09Rik",11.06,5.56,6.01,9.95,7.25,6.07,6.13,7.62,2.58,3.4
"2013","5830437K03Rik",0,0,0,0,0,0,0,0,0,0
"2014","5830444B04Rik",5.53,12.23,6.01,17.6,12.89,5.06,10.74,7.62,9.05,14.71
"2015","5830444F18Rik",0,0,0,0,0,0,0,0,0,0
"2016","5830448L01Rik",24.88,27.79,42.04,37.49,43.52,27.32,26.84,41.35,47.82,28.3
"2017","5830454E08Rik",17.51,15.56,6.01,9.95,16.12,12.14,15.34,8.7,12.92,14.71
"2018","5830462I19Rik",0,1.11,7.21,0,0,0,0,1.09,0,0
"2019","5830462O15Rik",0,0,0,0,0,0,0,0,1.29,0
"2020","5830468F06Rik",3.69,0,0,0,0,2.02,0,3.26,3.88,0
"2021","5830487J09Rik",1.84,3.33,6.01,1.53,7.25,0,1.53,3.26,5.17,0
"2022","5930403N24Rik",32.25,30.01,16.81,29.84,49.16,23.27,49.84,66.38,77.55,70.17
"2023","5930409G06Rik",66.34,61.13,38.43,45.14,57.22,39.46,45.24,42.44,60.75,50.93
"2024","5930420M18Rik",53.44,41.12,27.62,47.44,42.71,62.74,78.98,50.05,52.99,33.96
"2025","5930430L01Rik",14.74,15.56,28.82,24.48,24.18,22.26,19.17,9.79,16.8,14.71
"2026","5930435M05Rik",2.76,0,0,0,0,0,0,0,0,0
"2027","5930438M14Rik",5.53,8.89,12.01,3.06,4.03,0,3.83,3.26,2.58,0
"2028","6030400A10Rik",0.92,0,0,0.77,4.03,1.01,0,1.09,1.29,1.13
"2029","6030407O03Rik",8.29,5.56,10.81,19.13,15.31,8.1,6.9,3.26,6.46,4.53
"2030","6030440G07Rik",0,0,0,0,0,0,0,0,0,0
"2031","6030442E23Rik",0,0,0,0,0,0,0,0,0,0
"2032","6030442K20Rik",3.69,11.11,7.21,8.42,8.06,5.06,14.57,7.62,10.34,2.26
"2033","6030443J06Rik",11.98,22.23,30.03,25.25,24.98,15.18,13.04,11.97,11.63,19.24
"2034","6030445D17Rik",5.53,1.11,3.6,0,2.42,1.01,2.3,3.26,3.88,4.53
"2035","6030452D12Rik",0,0,0,0,0,0,0,0,0,0
"2036","6030458C11Rik",1133.34,1075.86,1043.7,936.49,942.12,1048.31,937.8,1103.35,1015.87,1062.8
"2037","6030460B20Rik",0,0,0,0,0,0,0,0,0,0
"2038","6030466F02Rik",0,0,6.01,0,0,0,0,0,0,0
"2039","6030468B19Rik",0.92,0,1.2,0.77,4.03,1.01,0,0,0,0
"2040","6030469F06Rik",0,0,0,0,0,0,0.77,0,0,0
"2041","6030471H07Rik",0,0,0,0,0,0,0,0,0,0
"2042","6030498E09Rik",0,0,0,0,0.81,0,0,0,2.58,0
"2043","6230400D17Rik",34.09,17.78,19.22,24.48,29.82,29.34,26.84,21.76,28.43,31.69
"2044","6330403K07Rik",5912.7,9277.1,6987.61,5918.13,8562.08,10287.81,13230.39,10630.94,10723.47,10128.83
"2045","6330403L08Rik",561.14,483.47,708.61,608.26,492.42,496.83,509.16,488.57,558.34,507.06
"2046","6330408M09Rik",11.98,5.56,8.41,9.18,23.37,8.1,9.2,18.5,9.05,13.58
"2047","6330409D20Rik",40.54,61.13,46.84,69.63,46.74,69.82,92.78,95.75,104.69,69.04
"2048","6330410L21Rik",0,6.67,1.2,8.42,4.84,8.1,6.9,5.44,0,5.66
"2049","6330411D24Rik",2.76,7.78,1.2,3.83,4.03,8.1,14.57,13.06,9.05,9.05
"2050","6330415B21Rik",0,0,3.6,0.77,0,0,1.53,0,0,0
"2051","6330415G19Rik",21.19,16.67,27.62,16.83,11.28,18.21,9.2,15.23,6.46,7.92
"2052","6330418K02Rik",51.6,80.02,97.28,94.11,88.65,66.78,80.51,102.28,87.89,101.87
"2053","6330419E04Rik",0,0,0,0,0,0,0,0,0,0
